NOMEFILE,ANNO,TIPO,liste_sindaco_preferenze_referendum_presidente,rounds,DATA,CITTA,id_elections
comunali_sindaco_ballotagio_2021.csv,2021,comunali,sindaco,run-off,2021-10-17,ROMA,comunali_sindaco_ballotagio_2021.csv2021_comunali_run-off_ROMA
comunali_presidente_municipio_12_ballotagio_2008.csv,2008,municipali,presidente,run-off,2008-04-27,ROMA,comunali_presidente_municipio_12_ballotagio_2008.csv2008_municipali_run-off_ROMA
comunali_presidente_municipio_13_ballotagio_2008.csv,2008,municipali,presidente,run-off,2008-04-27,ROMA,comunali_presidente_municipio_13_ballotagio_2008.csv2008_municipali_run-off_ROMA
comunali_presidente_municipio_18_ballotagio_2008.csv,2008,municipali,presidente,run-off,2008-04-27,ROMA,comunali_presidente_municipio_18_ballotagio_2008.csv2008_municipali_run-off_ROMA
comunali_presidente_municipio_19_ballotagio_2008.csv,2008,municipali,presidente,run-off,2008-04-27,ROMA,comunali_presidente_municipio_19_ballotagio_2008.csv2008_municipali_run-off_ROMA
comunali_presidente_municipio_20_ballotagio_2008.csv,2008,municipali,presidente,run-off,2008-04-27,ROMA,comunali_presidente_municipio_20_ballotagio_2008.csv2008_municipali_run-off_ROMA
comunali_presidente_municipio_2_ballotagio_2008.csv,2008,municipali,presidente,run-off,2008-04-27,ROMA,comunali_presidente_municipio_2_ballotagio_2008.csv2008_municipali_run-off_ROMA
comunali_presidente_municipio_4_ballotagio_2008.csv,2008,municipali,presidente,run-off,2008-04-27,ROMA,comunali_presidente_municipio_4_ballotagio_2008.csv2008_municipali_run-off_ROMA
comunali_presidente_municipio_7_ballotagio_2008.csv,2008,municipali,presidente,run-off,2008-04-27,ROMA,comunali_presidente_municipio_7_ballotagio_2008.csv2008_municipali_run-off_ROMA
comunali_presidente_municipio_8_ballotagio_2008.csv,2008,municipali,presidente,run-off,2008-04-27,ROMA,comunali_presidente_municipio_8_ballotagio_2008.csv2008_municipali_run-off_ROMA
comunali_presidente_municipio_10_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_10_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_11_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_11_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_13_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_13_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_14_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_14_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_15_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_15_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_1_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_1_ballotagio_2013.csv2013_municipali_run-off_ROMA
comunali_presidente_municipio_2_ballotagio_2013.csv,2013,municipali,presidente,run-off,2013-06-10,ROMA,comunali_presidente_municipio_2_ballotagio_2013.csv2013_municipali_run-off_ROMA
